"Name","AutomationId","ControlType","Enabled","Bounds"
"","4083","ControlType.Pane","True","969;396;1145;60"
"","538","ControlType.Pane","True","602;1368;368;80"
"","","ControlType.Pane","True","975;456;1139;992"
"","","ControlType.Pane","True","969;456;1131;953"
"Camera","","ControlType.Pane","True","984;500;1101;1560"
"","","ControlType.Pane","True","984;500;1101;914"
"Refresh","1104","ControlType.Pane","True","1664;549;179;35"
"Load Settings","5085","ControlType.Pane","True","1664;644;179;35"
"Save Settings","5086","ControlType.Pane","True","1664;692;179;35"
"Auto-restore","5084","ControlType.Pane","True","1667;749;180;36"
"Settings are saved for each camera model.

Check Auto-restore to re-load last saved settings when camera is attached.","","ControlType.Pane","True","1667;807;180;156"
"Manage Settings","1134","ControlType.Pane","True","1664;1011;179;35"
"Supported Cameras","1267","ControlType.Pane","True","1664;1061;179;35"
"Camera","","ControlType.Pane","True","1052;554;230;20"
"Canon EOS R100","100","ControlType.Pane","True","1289;549;318;32"
"Battery","","ControlType.Pane","True","1052;602;230;20"
"AC Power","101","ControlType.Pane","True","1289;597;318;32"
"Camera Card Status","","ControlType.Pane","True","1052;650;230;20"
"NO MEDIA","102","ControlType.Pane","True","1289;645;318;32"
"","","ControlType.Pane","True","1022;707;624;3"
"Primary","","ControlType.Pane","True","1052;698;83;20"
"AE Mode","","ControlType.Pane","True","1052;746;230;20"
"M","104","ControlType.Pane","True","1289;741;318;32"
"Av","","ControlType.Pane","True","1052;794;230;20"
"6.3","105","ControlType.Pane","True","1289;789;318;32"
"Tv","","ControlType.Pane","True","1052;842;230;20"
"1/125","106","ControlType.Pane","True","1289;837;318;32"
"ISO","","ControlType.Pane","True","1052;890;230;20"
"Auto","107","ControlType.Pane","True","1289;885;318;32"
"Image Quality","","ControlType.Pane","True","1052;938;230;20"
"Jpeg Small1 Normal","108","ControlType.Pane","True","1289;933;318;32"
"","","ControlType.Pane","True","1022;995;624;3"
"Other","","ControlType.Pane","True","1052;986;59;20"
"Save Images","","ControlType.Pane","True","1052;1034;230;20"
"Save to computer only","110","ControlType.Pane","True","1289;1029;318;32"
"Transfer video recordings","","ControlType.Pane","True","1052;1082;230;20"
"Move video files to computer","111","ControlType.Pane","True","1289;1077;318;32"
"Exposure Compensation","","ControlType.Pane","True","1052;1130;230;20"
"0","112","ControlType.Pane","True","1289;1125;318;32"
"Metering Mode","","ControlType.Pane","True","1052;1178;230;20"
"Evaluative","113","ControlType.Pane","True","1289;1173;318;32"
"White Balance","","ControlType.Pane","True","1052;1226;230;20"
"Daylight","114","ControlType.Pane","True","1289;1221;318;32"
"Color Temperature","","ControlType.Pane","True","1052;1274;230;20"
"5700K","115","ControlType.Pane","True","1289;1269;318;32"
"Picture Style","","ControlType.Pane","True","1052;1322;230;20"
"Standard","116","ControlType.Pane","True","1289;1317;318;32"
"Color Space","","ControlType.Pane","True","1052;1370;230;20"
"Adobe RGB","117","ControlType.Pane","True","1289;1365;318;32"
"","","ControlType.Pane","True","1022;1427;624;3"
"Live View","","ControlType.Pane","True","1052;1418;99;20"
"Evf AF Mode","","ControlType.Pane","True","1052;1466;230;20"
"Live","119","ControlType.Pane","True","1289;1461;318;32"
"White Balance","","ControlType.Pane","True","1052;1514;230;20"
"Daylight","120","ControlType.Pane","True","1289;1509;318;32"
"Color Temperature","","ControlType.Pane","True","1052;1562;230;20"
"5700K","121","ControlType.Pane","True","1289;1557;318;32"
"Autofocus before starting Session","","ControlType.Pane","True","1052;1610;230;20"
"Yes, if camera lens set to autofocus","122","ControlType.Pane","True","1289;1605;318;32"
"Supports Video Recording","","ControlType.Pane","True","1052;1658;230;20"
"Yes","123","ControlType.Pane","True","1289;1653;318;32"
"","","ControlType.Pane","True","1022;1715;624;3"
"Video","","ControlType.Pane","True","1052;1706;60;20"
"Playback FrameRate","","ControlType.Pane","True","1052;1754;230;20"
"Normal (play at recorded speed)","125","ControlType.Pane","True","1289;1749;318;32"
"Video Av","","ControlType.Pane","True","1052;1802;230;20"
"Default","126","ControlType.Pane","True","1289;1797;318;32"
"Video ISO","","ControlType.Pane","True","1052;1850;230;20"
"Default","127","ControlType.Pane","True","1289;1845;318;32"
"","","ControlType.Pane","True","1022;1907;624;3"
"Timing","","ControlType.Pane","True","1052;1898;72;20"
"Shutter Adjust Time","3938","ControlType.Pane","True","1289;1941;318;32"
"Get help at <a href=""http://www.boothmanual.com"">boothmanual.com</a>","1063","ControlType.Pane","True","1836;473;255;23"
"","4083","ControlType.Pane","True","602;396;368;60"
"","","ControlType.Pane","True","603;456;1509;992"
"","","ControlType.Pane","True","978;456;1134;992"
"","","ControlType.Pane","True","603;464;366;905"
